entry_id,rank,neighbor_workflow,neighbor_scheduler,neighbor_q_value,neighbor_similarity,neighbor_weight
0,1,montage-chameleon-2mass-01d-001_aug1_rescaled.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
0,2,montage-chameleon-2mass-01d-001_aug1_rescaled.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
0,3,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
0,4,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
0,5,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.91266387905928,1.0,0.16666646301746368
0,6,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.91266387905928,1.0,0.16666646301746368
1,1,montage-chameleon-2mass-01d-001_aug1_rescaled.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
1,2,montage-chameleon-2mass-01d-001_aug1_rescaled.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
1,3,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
1,4,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
1,5,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.91266387905928,1.0,0.16666646301746368
1,6,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.91266387905928,1.0,0.16666646301746368
2,1,montage-chameleon-2mass-01d-001_aug1_rescaled.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
2,2,montage-chameleon-2mass-01d-001_aug1_rescaled.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
2,3,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
2,4,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.1019499695251402,1.0000001192092896,0.16666677594184875
2,5,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.91266387905928,1.0,0.16666646301746368
2,6,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.91266387905928,1.0,0.16666646301746368
3,1,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.9760568766371588,1.0000001192092896,0.1666666716337204
3,2,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.9760568766371588,1.0000001192092896,0.1666666716337204
3,3,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.965742521827874,1.0000001192092896,0.1666666716337204
3,4,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.965742521827874,1.0000001192092896,0.1666666716337204
3,5,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.8999999999999999,1.0000001192092896,0.1666666716337204
3,6,montage-chameleon-2mass-01d-001_aug1.json,HEFT,0.8999999999999999,1.0000001192092896,0.1666666716337204
